What does this mean? <br /><h1>「信用して」と彼は言った。</h1>;<h1>"Trust me," he said.</h1><span>(「しんようして」とかれはいった。)</span>;51222 48525 48581 48580 45484 45556 45523 45581
What does this mean? <br /><h1>「これが探していたものだ」と彼は叫んだ。</h1>;<h1>"This is what I was looking for!" he exclaimed.</h1><span>(「これがさがしていたものだ」とかれはさけんだ。)</span>;48236 48509 48581 53348 45480 45484 45486 45552 45519 45523 45581
What does this mean? <br /><h1>お願いだから泣かないで。</h1>;<h1>Please don't cry.</h1><span>(おねがいだからなかないで。)</span>;48504 49762 45480 45549 45514 45581 45585
What does this mean? <br /><h1>１０年は待つには長い時間だ。</h1>;<h1>Ten years is a long time to wait.</h1><span>(いちぜろねんはまつにはながいじかんだ。)</span>;48390 48343 48597 48270 45480 45484 45512 45516
What does this mean? <br /><h1>驚かない所をみると知ってたのね。</h1>;<h1>Seeing that you're not surprised, I think you must have known.</h1><span>(おどろかないところをみるとしってたのね。)</span>;49909 48551 45549 45552 45511 45519 45523 45525 45532
What does this mean? <br /><h1>２、３ページの英語を訳すのに２時間以上もかかりました。</h1>;<h1>It took me more than two hours to translate a few pages of English.</h1><span>(に、さんぺーじのえいごをやくすのににじかんいじょうもかかりました。)</span>;48687 48731 49659 48270 49352 51023 45485 45511 45512 45519 45525 45568
What does this mean? <br /><h1>何時ですか。</h1>;<h1>What time do you have?</h1><span>(なんじですか。)</span>;48921 48385 45569 45570
What does this mean? <br /><h1>今日はとても暑い。</h1>;<h1>It is very hot today.</h1><span>(きょうはとてもあつい。)</span>;52126 48246 48322 45484
What does this mean? <br /><h1>彼は約束を破った。</h1>;<h1>He broke his word.</h1><span>(かれはやくそくをやぶった。)</span>;48581 49624 53206 45484 45556 45511
What does this mean? <br /><h1>警察を呼んで！</h1>;<h1>Call the police!</h1><span>(けいさつをよんで！)</span>;49826 48566 45511 45514 45581
What does this mean? <br /><h1>もっと時間が必要だ。</h1>;<h1>I need more time.</h1><span>(もっとじかんがひつようだ。)</span>;48303 48270 48943 45480 45486
What does this mean? <br /><h1>虫歯を侮ると命に係わる場合もあるのです。</h1>;<h1>Making light of cavities can be a matter of life and death.</h1><span>(むしばをあなどるといのちにかかわるばあいもあるのです。)</span>;53355 51654 48297 45485 45511 45512 45519 45523 45525 45569
What does this mean? <br /><h1>どこの関節がはずれたの？</h1>;<h1>Which joint did you dislocate?</h1><span>(どこのかんせつがはずれたの？)</span>;48520 51630 45486 45552 45525
What does this mean? <br /><h1>髪も上げたほうが私は好きだ。</h1>;<h1>I also prefer it with the hair worn up.</h1><span>(かみもあげたほうがわたしはすきだ。)</span>;49998 48467 48255 48256 45480 45484 45485 45486 45552 45519
What does this mean? <br /><h1>政府が住民に問う一般投票を実施しました。</h1>;<h1>The government put the question to the people in a referendum.</h1><span>(せいふがじゅうみんにとういっぱんとうひょうをじっししました。)</span>;49410 49778 52579 49303 51548 49027 48525 45486 45511 45512 45519 45568
What does this mean? <br /><h1>Windows95対応のゲームを動かしたいのです。</h1>;<h1>I want to run a Windows 95 game.</h1><span>(たいおうのげーむをうごかしたいのです。)</span>;52730 48257 49338 45511 45519 45525 45569
What does this mean? <br /><h1>彼はくたくたの背広を着ていた。</h1>;<h1>He was wearing a threadbare suit.</h1><span>(かれはくたくたのせびろをきていた。)</span>;48581 50361 52827 48378 45484 45552 45511 45525 45581
What does this mean? <br /><h1>木造建築物は火がつきやすい。</h1>;<h1>Wooden buildings catch fire easily.</h1><span>(もくぞうけんちくぶつはひがつきやすい。)</span>;52114 52079 49232 48806 48793 45484 45486
What does this mean? <br /><h1>靴ひもがとけた。</h1>;<h1>My shoelaces came undone.</h1><span>(くつひもがとけた。)</span>;50187 50194 45486 45552
What does this mean? <br /><h1>カーテンに火が点いた。</h1>;<h1>The curtain caught fire.</h1><span>(かーてんにひがついた。)</span>;48695 48806 45486 45554 45512
What does this mean? <br /><h1>あなたはどこの国の出身ですか。</h1>;<h1>Which country are you from?</h1><span>(あなたはどこのくにのしゅっしんですか。)</span>;48650 48520 48307 52519 45484 45525 45569 45570
What does this mean? <br /><h1>彼は敵を料理した。</h1>;<h1>He easily licked his opponent.</h1><span>(かれはてきをりょうりした。)</span>;48581 53209 49789 48525 45484 45511
What does this mean? <br /><h1>ようやく夜が明けて長い夜が終わった。</h1>;<h1>Finally dawn broke; the long night had ended.</h1><span>(ようやくよるがあけてながいよるがおわった。)</span>;50305 50291 50289 48597 50291 48482 45486 45556 45581
